,gdp,gnp,real_gdp,real_gdp_per_capita,net_exports,gni,govt_spending,consumer_spending,private_domestic_investment,cpi,consumer_oil_price,ir,unemployment_rate,Close,Volume,ClosePrev,CloseNext
1963-10-01,653.938,658.563,3774.264,19827.0,5.711,659.649,1267.045,390.049,6.143,30.803,14.533,3.5,5.6,71.11,50848148.666666664,69.99,74.08666666666666
1964-01-01,669.822,674.88,3853.835,20182.0,7.213,677.035,1270.997,399.581,6.255,30.93,14.5,3.5,5.5,74.08666666666666,58335184.333333336,71.11,77.94
1964-04-01,678.674,683.549,3895.793,20337.0,6.305,684.9789999999999,1282.412,407.536,6.404,30.98,14.267,3.5,5.2,77.94,58979629.0,74.08666666666666,80.50666666666666
1964-07-01,692.031,697.079,3956.657,20580.0,6.946,698.977,1283.929,416.422,6.561,31.05,14.2,3.5,5.0,80.50666666666666,59035184.666666664,77.94,83.06333333333333
1964-10-01,697.319,702.017,3968.878,20571.0,7.195,704.514,1283.386,418.987,6.72,31.193,14.367,3.71,5.0,83.06333333333333,54562962.666666664,80.50666666666666,84.67666666666666
1965-01-01,717.79,723.225,4064.915,21011.0,4.512,722.3019999999999,1281.91,429.711,6.929,31.29,14.567,4.0,4.9,84.67666666666666,56333332.666666664,83.06333333333333,87.05
1965-04-01,730.191,735.832,4116.267,21219.0,6.688,736.879,1297.074,436.642,7.115,31.49,14.6,4.0,4.7,87.05,64118518.0,84.67666666666666,87.21666666666665
1965-07-01,749.323,754.576,4207.782,21618.0,5.521,754.8439999999999,1340.109,445.804,7.298,31.583,14.567,4.0,4.4,87.21666666666665,66198150.0,87.05,87.46
1965-10-01,771.857,776.644,4304.731,22044.0,5.75,777.607,1365.498,459.736,7.531,31.75,14.867,4.14,4.1,87.46,64703704.333333336,87.21666666666665,92.15333333333335
1966-01-01,795.734,800.732,4409.518,22525.0,4.367,800.101,1390.947,470.136,7.716,32.047,14.933,4.5,3.9,92.15333333333335,93009259.66666667,87.46,91.11
1966-04-01,804.981,810.033,4424.581,22543.0,4.632,809.6129999999999,1417.226,475.189,7.96,32.337,15.033,4.5,3.8,91.11,100011111.66666667,92.15333333333335,87.31
1966-07-01,819.638,824.605,4462.053,22664.0,2.687,822.325,1455.85,484.291,8.213,32.617,15.0,4.5,3.8,87.31,92203703.66666667,91.11,79.08666666666666
1966-10-01,833.302,838.565,4498.66,22780.0,3.765,837.067,1480.985,490.06,8.447,32.883,15.1,4.5,3.7,79.08666666666666,74494445.33333333,87.31,80.32666666666667
1967-01-01,844.17,849.391,4538.498,22926.0,4.453,848.6229999999999,1543.56,494.317,8.682,32.967,15.367,4.5,3.8,80.32666666666667,84640740.66666667,79.08666666666666,87.86333333333333
1967-04-01,848.983,854.063,4541.28,22883.0,4.219,853.202,1537.155,503.458,8.87,33.167,15.4,4.03,3.8,87.86333333333333,113888889.33333333,80.32666666666667,91.24333333333334
1967-07-01,865.233,870.922,4584.246,23035.0,3.302,868.535,1554.237,510.717,9.101,33.5,15.533,4.0,3.8,91.24333333333334,114566666.0,87.86333333333333,95.03333333333332
1967-10-01,881.439,887.023,4618.812,23144.0,2.244,883.683,1566.046,518.249,9.295,33.867,15.667,4.23,3.9,95.03333333333332,116572222.0,91.24333333333334,94.58999999999999
1968-01-01,909.387,915.204,4713.013,23566.0,1.054,910.4409999999999,1594.047,536.297,9.553,34.2,15.733,4.55,3.7,94.58999999999999,123272221.33333333,95.03333333333332,90.60000000000001
1968-04-01,934.344,940.344,4791.758,23905.0,1.749,936.0930000000001,1602.315,550.014,9.795,34.533,15.933,5.4,3.6,90.60000000000001,116622223.0,94.58999999999999,98.57333333333332
1968-07-01,950.825,957.077,4828.892,24025.0,1.65,952.475,1607.115,566.122,10.038,35.0,16.1,5.41,3.5,98.57333333333332,156424073.33333334,90.60000000000001,99.75666666666666
1968-10-01,968.03,974.301,4847.885,24054.0,0.945,968.975,1608.573,574.977,10.316,35.433,16.1,5.29,3.4,99.75666666666666,123096296.33333333,98.57333333333332,105.21333333333332
1969-01-01,993.337,999.671,4923.76,24380.0,0.239,993.576,1612.219,587.005,10.574,35.867,16.133,5.5,3.4,105.21333333333332,146579630.33333334,99.75666666666666,100.88333333333333
1969-04-01,1009.02,1015.181,4938.728,24399.0,1.104,1010.124,1607.192,598.337,10.87,36.433,16.267,5.98,3.4,100.88333333333333,124666666.33333333,105.21333333333332,101.61999999999999
