,R^2,MSE train,MSE test
142,0.9954854639782427,3260.1874464214093,5505.5833075369965
143,0.9959488259976741,2959.639991280812,5102.926768119069
144,0.9958715613057081,2593.5235575588035,17309.48819599376
145,0.9956617635153092,3035.1807192336682,5907.116085197668
146,0.9956906164539034,2925.8348613231374,5782.681827006203
147,0.9948925614747475,3323.9192216420324,5230.236708774925
148,0.9954404196970842,3131.956082668945,4094.528235212092
149,0.99489609528343,3117.5657698048776,10179.112048751665
150,0.996088778252817,2941.8784868320613,4752.5692867431135
151,0.9959692820372958,2736.7763234213294,5322.707473230604
152,0.9952824443995169,3209.935038761907,5058.422395015668
153,0.9955413703297615,3352.9442932648753,3268.619068533471
154,0.9959073092194325,2891.5080575558964,5398.529144402647
155,0.9957499795961111,2831.3885644680863,8533.261733346078
156,0.9957984255724435,2962.9448662489785,4881.772108496468
157,0.9950857038461304,2982.175775141299,8774.975493337995
158,0.9956739808620404,3078.8147648013933,4587.433571711238
159,0.9955186846581201,3156.9301284149374,4429.877332948379
160,0.9955925776704261,2732.5033096601032,9087.245474942158
161,0.9950241228075686,3185.284944592304,7728.244168962364
162,0.9959277317226608,3148.419387861449,4132.5284506598455
163,0.9952466799945647,2991.7356167927614,5453.648088119564
164,0.9962967191813961,2577.331437232293,8690.548853721442
165,0.9958366415035494,3111.852324644602,4036.6851775841933
166,0.9964323888905046,2428.951773887607,7851.129671642439
167,0.9955939236388441,3150.2298052843184,4338.504054551574
168,0.9956520205700801,2991.0360242979173,5162.097610487532
169,0.994935808617363,3262.2034611232098,5049.749118579708
170,0.995714224481459,3048.6631475355857,4850.3484015366985
171,0.9960100853074345,2868.6537258568496,5083.3984835417
172,0.9954801402649978,3253.4412760570895,4709.982794465538
173,0.9956852351496702,3389.8889425080774,3261.9735964945016
174,0.9942235767350212,3483.568279830916,7283.325580872578
175,0.9957428684807788,2786.02464311657,9427.136212911259
176,0.9954872443278483,3065.116048197726,4273.9701843511375
177,0.9954798738886217,3436.0613980393273,2878.2620518602275
178,0.9953837676500981,3043.6094379962638,7354.501770594086
179,0.996040275645439,2864.6095133289987,5340.506176321437
180,0.9955794791255034,3273.8710924177494,3740.21909903821
181,0.9957187389612138,3088.328662734606,5513.681315049673
182,0.9960468527084411,2792.8459034338503,8217.22770043771
183,0.9952102008655975,3219.2475684472242,6152.747125910082
184,0.9954060208023929,3264.8391703405023,4296.357712948358
185,0.9960608495509766,2471.3394967702397,7157.069522404871
186,0.9954454558111412,3376.8116633838736,4122.773682486571
187,0.9951928276440951,2702.935717604131,6666.608597684465
188,0.9954240620405244,3156.00416517772,4967.477654687724
189,0.9959575959044955,2987.259822007556,5780.098729867488
190,0.9953278573021641,3567.2309400326494,2561.2321163576084
191,0.9956114861430513,2742.3094583250113,10517.531852717802
192,0.995211616165322,3306.2484976907026,3575.099612310197
193,0.9954191358174695,2722.091787208459,9495.410615455525
194,0.9955884156787171,2728.9070034302144,6398.299622354096
195,0.9945364994020386,3036.4496716366393,8482.149340535274
196,0.9956545853793806,3010.316493853657,4883.444589225205
197,0.995452108472523,3326.1745544207606,3537.105156860194
198,0.9956864222097228,2753.988684272944,6912.297604004627
199,0.9953482947120124,2948.77147490097,4873.528505126663
200,0.9954699661934695,3004.051753641117,5491.02708653876
201,0.9959597401982773,2854.047052868126,6843.405930726623
202,0.9955224494060403,2694.6309598730745,6591.35446599397
203,0.9960101882858039,2758.773846863157,8510.2108693156
204,0.9952373582035318,3188.9389302655786,7074.893838339755
205,0.9950791994691124,3019.093834603401,5420.673293392192
206,0.9953266348380718,3291.6298909113902,3502.8498726864577
207,0.9951123211672028,3650.7943342265157,2239.229532122435
208,0.995605167449764,2880.5178431496133,6441.008980961448
209,0.9954172728709307,3123.3246562798254,4417.315548438525
210,0.9956978259792167,3434.2398879453017,3255.777284174968
211,0.9950009833218216,3500.485018303124,2980.552045825541
212,0.9952668045599581,3426.582906084301,3853.6426488478924
213,0.9958652614782257,2984.9834614274073,5408.602983058765
214,0.9949819691887154,2779.9792744351735,10978.400522379316
215,0.9957001291120566,3381.3382496416652,3334.49434153025
216,0.9958613733277832,2931.8972411428867,5404.870974058613
217,0.9955225846910524,2971.1749818235166,5183.945017645261
218,0.9963047306377245,2627.8647438130815,6454.626386102575
219,0.9955730887004475,3223.848165029505,3806.7423044821276
220,0.9951461601839142,3067.6720326093487,5371.609657036056
221,0.995921485596162,3030.4518196856266,5173.579818584691
222,0.9954134341113138,2952.0627649794396,8474.746087746007
223,0.9960853060514906,2986.581932069526,4773.222160965183
224,0.9954465079903588,3186.1295831135785,3990.20468348414
225,0.9945709629662202,3131.03921312152,4581.430699889198
