random_state,R^2,MSE train,MSE test
537,0.995690273717158,3207.0777108018424,3847.883490673351
538,0.995752875654769,3063.586742718369,4615.255154989399
539,0.9956285337872387,3286.0155391239023,3722.1998897280114
540,0.9952681737201501,3031.311682227356,9371.864593284146
541,0.9953047386113624,3194.423683165074,4370.407437557885
542,0.9950794432009782,3126.6435540039347,4719.679760833635
543,0.9953064869664153,3129.7951616672317,4792.07992082592
544,0.9960875021963577,2847.228263734098,4950.585402950668
545,0.9949839776312314,2834.625532926246,6433.301924775906
546,0.9956511611991946,2982.8446497830046,5284.671107499248
547,0.9953258501735105,3287.6778132201366,5066.580195904682
548,0.9958439605242445,2909.4801175030884,6657.942164892326
