Date,Open,High,Low,Close,Volume
30/11/1982,133.72,144.36,132.89,138.53,1031688887
31/12/1982,138.56,143.68,134.79,140.64,934488889
31/1/1983,140.65,148.36,138.08,145.3,1031999998
28/2/1983,145.29,150.88,141.9,148.06,897472222
31/3/1983,148.07,155.02,148.07,152.96,1056622226
30/4/1983,152.92,164.43,150.17,164.43,992705553
31/5/1983,164.41,166.99,160.29,162.39,1085072221
30/6/1983,162.38,171.6,160.8,167.64,1096588887
31/7/1983,168.11,170.72,161.5,162.56,883427777
31/8/1983,162.34,165.91,158.5,164.4,948016667
30/9/1983,164.4,170.41,163.95,166.07,966561111
31/10/1983,165.99,172.65,162.86,163.55,997011113
30/11/1983,163.55,168.07,161.63,166.4,1008116666
31/12/1983,166.37,166.77,161.58,164.93,1027144445
31/1/1984,164.93,169.54,162.03,163.41,1230922222
29/2/1984,163.41,164,152.13,157.06,1073783335
31/3/1984,157.06,160.46,153.77,159.18,1030511111
30/4/1984,159.18,160.69,154.12,160.05,954183332
31/5/1984,160.05,162.11,148.68,150.55,1077527779
30/6/1984,150.55,155.64,148.53,153.18,1007150000
31/7/1984,153.16,153.87,147.26,150.66,923444445
31/8/1984,150.66,168.8,150.66,166.68,1403844444
30/9/1984,166.68,169.65,163.06,166.1,982588890
31/10/1984,166.1,169.62,160.02,166.09,1172349999
30/11/1984,166.09,170.41,162.99,163.58,976266664
31/12/1984,163.58,169.03,161.54,167.24,989444445
31/1/1985,167.2,180.27,163.36,179.63,1485394445
28/2/1985,179.63,183.95,177.75,181.18,1219233333
31/3/1985,181.18,183.89,176.53,180.66,1196161108
30/4/1985,180.66,183.61,177.86,179.83,1101044442
31/5/1985,179.83,189.98,178.35,189.55,1305744442
30/6/1985,189.55,191.85,185.03,191.85,1176111111
31/7/1985,191.85,196.07,189.3,190.92,1368372219
31/8/1985,190.92,192.17,186.1,188.63,1068444445
30/9/1985,188.63,188.8,179.45,182.08,1033422224
31/10/1985,182.06,190.15,181.16,189.82,1412911110
30/11/1985,189.82,203.4,189.37,202.17,1358538888
31/12/1985,202.17,213.08,200.1,211.28,1557988886
31/1/1986,211.28,214.57,202.6,211.78,1599450001
28/2/1986,211.78,227.92,210.82,226.92,1610611110
31/3/1986,226.92,240.11,222.18,238.9,1785888889
30/4/1986,238.9,245.47,226.3,235.52,1800222221
31/5/1986,235.52,249.19,232.26,247.35,1489022224
30/6/1986,246.04,251.81,238.23,250.84,1472000000
31/7/1986,250.67,253.2,233.07,236.12,1683277778
31/8/1986,236.12,254.24,231.92,252.93,1501055556
30/9/1986,252.93,254.13,228.08,231.32,1759055555
31/10/1986,231.32,244.51,231.32,243.98,1675966668
30/11/1986,243.97,249.22,235.51,249.22,1633794444
31/12/1986,249.22,254.87,241.28,242.17,1811594443
31/1/1987,242.17,280.96,242.17,274.08,2244933333
28/2/1987,274.08,287.55,273.16,284.2,1936277778
31/3/1987,284.17,302.72,282.3,291.7,2202833333
30/4/1987,291.59,303.65,275.67,288.36,2184277780
31/5/1987,286.99,298.69,277.01,290.1,1898722220
30/6/1987,290.12,310.27,286.93,304,1997222222
31/7/1987,303.99,318.85,302.53,318.66,2203555558
31/8/1987,318.62,337.89,314.51,329.8,2256888888
30/9/1987,329.81,332.18,308.56,321.83,2068444445
31/10/1987,321.83,328.94,216.46,251.79,3385833334
30/11/1987,251.73,257.21,225.75,230.3,1994183334
31/12/1987,230.32,253.35,221.24,247.08,2181527779
31/1/1988,247.1,261.78,240.17,257.07,1941500000
29/2/1988,257.05,267.82,247.82,267.82,2051800001
31/3/1988,267.82,272.64,256.07,258.89,2251650000
30/4/1988,258.89,272.05,254.71,261.33,1811533331
31/5/1988,261.36,263.7,248.85,262.16,1795205557
30/6/1988,262.16,276.88,262.1,273.5,2392616666
31/7/1988,273.5,276.36,262.48,272.02,1854705555
31/8/1988,272.03,274.2,256.53,261.52,1848594447
30/9/1988,261.52,274.87,256.98,271.91,1699694445
31/10/1988,271.89,283.95,268.84,278.97,1897311111
30/11/1988,278.97,280.37,262.85,273.7,1568233335
31/12/1988,273.68,280.45,270.47,277.72,1580500002
31/1/1989,277.72,297.51,273.81,297.47,1962344446
28/2/1989,297.47,300.57,286.26,288.86,1786822222
31/3/1989,288.86,299.99,286.46,294.87,1946961109
30/4/1989,294.87,310.45,294.35,309.64,1798472222
31/5/1989,309.64,323.06,304.06,320.52,2081844442
30/6/1989,320.51,329.19,314.38,317.98,2203661110
31/7/1989,317.98,346.08,317.26,346.08,1805016666
31/8/1989,346.08,352.73,339,351.45,2193944447
30/9/1989,351.45,354.13,341.37,349.15,1686122224
31/10/1989,349.15,360.44,327.12,340.36,2229261112
30/11/1989,340.36,346.5,330.91,345.99,1684533335
31/12/1989,346.01,354.1,339.63,353.4,1785233336
31/1/1990,353.4,360.59,319.83,329.08,2107361113
28/2/1990,329.08,336.09,322.1,331.89,1645538887
31/3/1990,331.89,344.49,331.08,339.94,1824044445
30/4/1990,339.94,347.3,327.76,330.8,1556233334
31/5/1990,330.8,362.26,330.8,361.23,1998155557
30/6/1990,361.26,368.78,351.23,358.02,1792377778
31/7/1990,358.02,369.78,350.09,356.15,1874188889
31/8/1990,356.15,357.35,306.18,322.56,2233738890
30/9/1990,322.56,326.53,295.98,306.05,1492933333
31/10/1990,306.1,319.69,294.51,304,2039944442
30/11/1990,303.99,323.02,301.61,322.22,1749872221
31/12/1990,322.23,333.98,321.97,330.22,1731572222
31/1/1991,330.2,343.93,309.35,343.93,2033466666
28/2/1991,343.91,370.96,340.37,367.07,2390650001
31/3/1991,367.07,379.66,363.73,375.22,2182177779
30/4/1991,375.22,391.26,370.27,375.34,2231777778
31/5/1991,375.35,389.85,365.83,389.83,2077611110
30/6/1991,389.81,389.81,367.98,371.16,1810405555
31/7/1991,371.18,387.81,370.92,387.81,1934205554
31/8/1991,387.81,396.82,374.09,395.43,2063233334
30/9/1991,395.43,397.62,382.77,387.86,1811661110
31/10/1991,387.86,393.81,376.11,392.45,2267988887
30/11/1991,392.46,398.22,371.63,375.22,2076455557
31/12/1991,375.11,418.32,371.36,417.09,2308505556
31/1/1992,417.03,421.18,408.64,408.78,2936822221
29/2/1992,408.79,418.08,406.34,412.7,2370894445
31/3/1992,412.68,413.78,401.94,403.69,2259022223
30/4/1992,403.67,416.28,392.41,414.95,2397688890
31/5/1992,414.95,418.75,409.85,415.35,2024433333
30/6/1992,415.35,417.3,399.92,408.14,2366572220
31/7/1992,408.2,424.8,407.2,424.21,2369566664
31/8/1992,424.19,425.14,408.3,414.03,2029900001
30/9/1992,414.03,425.27,412.71,417.8,2235472221
